name,type,website_url,region_code,locality,address,public_transit,map_link,artist_summary,visitor_summary,facebook,instagram,claim_status,claimed_by_user_id,normalized_url
HallSpace,gallery - non-profit,http://www.hallspace.org/,BOS,Boston,"950 Dorchester Ave, Boston, MA 02125",,https://www.google.com/maps?q=950%20Dorchester%20Ave%2C%20Boston%2C%20MA%2002125,Curated shows with occasional proposal opportunities.,Independent gallery presenting contemporary art in Dorchester.,,,unclaimed,,hallspace.org
13FOREST Gallery,gallery - commercial,https://13forest.com/,BOS,Arlington,"167A Massachusetts Ave, Arlington, MA 02474",,,Proposals accepted via email per ArtsArlington; details vary by show; confirm with gallery.,"Curated gallery presenting contemporary art and craft, with rotating 6-8 week exhibitions.",,,unclaimed,,13forest.com
Six Bridges Gallery,association,https://6bridges.gallery/,BOS,Maynard,"77 Main St, Maynard, MA 01754",Drive or FRTA bus,,Clear prospectus pages; standard 60/40 artist/gallery split on sales for many shows.,Co-op gallery with regular juried shows and strong local support.,,,unclaimed,,6bridges.gallery
Abbot Public Library (Marblehead) - Carten Gallery,library,https://abbotlibrary.org,BOS,Marblehead,"235 Pleasant St, Marblehead, MA 01945",MBTA bus (via Salem) + drive,,Gallery news via library channels; contact for proposal windows; details posted per show.,Reopened facility with the Carten Gallery hosting contemporary exhibits.,https://www.facebook.com/AbbotLibraryMarblehead/,https://www.facebook.com/AbbotLibraryMarblehead/,unclaimed,,abbotlibrary.org
Howard Yezerski Gallery,gallery - commercial,https://andersonyezerski.com/,BOS,,,,,,,,,unclaimed,,
The Art Complex Museum,gallery - non-profit,https://artcomplex.org/,BOS,,,,,,,,,unclaimed,,
The James Library & Center for the Arts,gallery - non-profit,https://artist.callforentry.org/festivals_unique_info.php?ID=15868,BOS,Norwell,"24 West Street, Norwell, MA 02061",,https://www.google.com/maps/search/?api=1&query=24+West+St+Norwell+MA+02061,Clear prospectus; professional handling; standard regional commission.,Small-town gem with monthly exhibits and well-juried seasonal shows.,,,unclaimed,,jameslibrary.org
Arlington Town Hall Galleries (ACAC),gallery - non-profit,https://artsarlington.org/call-for-artists/,BOS,Arlington,"730 Massachusetts Ave, Arlington, MA 02476",,https://www.google.com/maps?q=730%20Massachusetts%20Ave%2C%20Arlington%2C%20MA%2002476,Art shown: regional 2D/3D exhibitions in civic spaces; themes community-focused and contemporary. Scale small to medium with public building constraints; price band N/A; sales artist-direct if allowed.,Rotating exhibitions in Town Hall spaces curated by Arlington Commission for Arts & Culture; visible civic venue.,,,unclaimed,,artsarlington.org
Arts at the Armory, ,https://artsatthearmory.org/our-programs/rotating-exhibits/,BOS,Somerville,,,,No application fee; sales commission 20%; shows run ~1-2 months; typical scheduling 2-8 months out. Insurance: N/A in FAQ.,Community café/gallery with rotating exhibits; steady event traffic.,,,unclaimed,,
Arts Collaborative Medford (ACM) - Gallery,gallery - non-profit,https://artscollabmedford.org/wmos-update,BOS,Medford,"48 Mystic St, Medford, MA 02155 (ACM HQ)",MBTA Bus; near Medford Square,,,,,,unclaimed,,artscollabmedford.org
